Nombre;Departamento/Provincia;Ciudad/Localidad;Dirección;latitud;Longitud;maps
(Locker) Stock Coronel Bogado;Itapúa;08. Coronel José Félix Bogado;Ruta 1 y Av. José Félix Bogado, Santa Clara, Coronel Bogado;-27,1563125;-56,2428594;https://maps.app.goo.gl/j1m1ek6XTajH8N8b8
(Locker) Stock Capiata Ruta 2;Central;02. Capiatá;Ruta 2 Mcal. Estigarribia Km. 20 esq. Cnel. Felipe Toledo, Central, Capiatá;-25,3563766;-57,4407196;https://maps.app.goo.gl/HhacZPzp9PFfr4s58
(Locker) Stock Capiata Departamental 27;Central;02. Capiatá;Ruta Departamentar D027;-25,3770125;-57,4767031;https://maps.app.goo.gl/EdZEsNVFhhVNN4bN6
(Locker) Stock Caaguazu;Caaguazú;01. Caaguazú;Roberto L. Pettit entre Manuel A. Godoy y Pedro Juan Caballero, Caaguazú, Caaguazú;-25,4668434;-56,0171604;https://maps.app.goo.gl/Q6Zq5dpj8n8oD2Lr8
(Locker) Stock Britez Borges;Central;10. Luque;Av Gral. Manuel Britez Borges y Av Ita Yvate;-25,2962375;-57,5228906;https://maps.app.goo.gl/JNmbb8CayWxnVmxy9
(Locker) Stock Boqueron - San Antonio;Central;14. San Antonio;Av. Cadete de Boquerón y San Martin;-25,41046268;-57,54813954;https://maps.app.goo.gl/pt3w589gb6ELzUGy8
(Locker) Stock Barrio Obrero;Asunción;Asunción;Av. Cerro León casi Caballero;-25,2991183;-57,6400012;https://maps.app.goo.gl/qaUG1R9cPXoXtQR48
(Locker) Stock Acceso Sur;Central;16. Villa Elisa;Acceso Sur y Emiliano R. Fernandez, Tres Bocas, Villa Elisa;-25,3525252;-57,5719009;https://maps.app.goo.gl/ags4vqQm5WbH98BA9
(Locker) Stock  San Lorenzo;Central;15. San Lorenzo;Av. del Agrónomo & Julia Miranda Cueto;-25,34662399;-57,51416606;https://maps.app.goo.gl/QMhcqisUxpzFwStd6
(Locker) Stock  Itauguá;Central;06. Itauguá;Av Mariscal Jose Felix Estigarribia y Cerro Cora;-25,3920516;-57,35408306;https://maps.app.goo.gl/Zqz7g8EeNH8ybBMD7
(Locker) Spar Supermercado;Central;10. Luque;Avda. Gral Aquino esq Adrián Jara, Luque;-25,2806349;-57,53389835;https://maps.app.goo.gl/wnERhyntaMCkyHib7
(Locker) Shell Yvera;Central;15. San Lorenzo;Av. Mariscal Lopez y Av. Gral. Eugenio A. Garay , Villa Amelia, San Lorenzo;-25,33684334;-57,51046658;https://maps.app.goo.gl/e6Sw4ZwN6LhPaEbu5
(Locker) Shell Surubi i;Central;11. Mariano Roque Alonso;Gral. Elizardo Aquino;-25,19134649;-57,50550735;https://maps.app.goo.gl/GepWBXhjz92WWH2M7
(Locker) Shell San Nicolas;Central;03. Fernando de la Mora;Ruta 2 y Cap. Rivas;-25,3346805;-57,5346692;https://maps.app.goo.gl/8Mwjj1qbTBBvPU9e8
(Locker) Shell Botanico;Asunción;Asunción;Avda. Primer Presidente y Av Gen Jose Gervansio Artigas, Santa Rosa, Asunción.;-25,25228438;-57,57891655;https://maps.app.goo.gl/QCs9ern2jRnmadQKA
(Locker) Shell Autopista;Asunción;Asunción;Av Aviadores del Chaco casi Av Santa Teresa, Las Lomas, Asunción;-25,28259939;-57,56252825;https://maps.app.goo.gl/DvX4m55UqyLEKBaDA
(Locker) San Lorenzo Shopping;Central;15. San Lorenzo;Ruta 2 KM 17.8, Central, San Lorenzo;-25,3432611;-57,4886878;https://maps.app.goo.gl/siuJH6ao8sJgJmbVA
(Locker) Petromax Campo 9 - Compañia Friesen;Caaguazú;05. Doctor Juan Eulogio Estigarribia;Ruta 7 Dr. Jose G. Rodriguez de Franciam. 213, Compania Friesen, Caaguazu;-25,3796179;-55,7003591;https://maps.app.goo.gl/euuSHbtoX6PhW8qf7
(Locker) Mall Excelsior;Asunción;Asunción;Chile y Manduvira;-25,28772634;-57,63882637;https://maps.app.goo.gl/beWsgybskWgWhNrz7
(Locker) Los Jardines Villa Adela;Central;10. Luque;Avenida General Aquino &, Tte. Rivas, Luque;-25,26442359;-57,5052747;https://maps.app.goo.gl/NWCWB8Tt9STkAHFu7
(Locker) Los Jardines Jacaranda;Central;03. Fernando de la Mora;Luís Alberto del Paraná esq. Jacarandá, Fernando de la Mora;-25,31267407;-57,54263163;https://maps.app.goo.gl/Wie1jjRdVRkkD9AM7
(Locker) Los Jardines  Laguna Grande;Central;03. Fernando de la Mora;Avda. Laguna Grande esq, Rio Paraguay 2160;-25,31891019;-57,51814842;https://maps.app.goo.gl/ogiYLU5BYzK6VFzL7
(Locker) Lambaré Pueblo;Central;08. Lambaré;Avda. República Argentina y Paz del Chaco - Paseo Lambare Shopping, Central, Lambare;-25,33499686;-57,61298055;https://maps.app.goo.gl/J2b1QxbSWJhLAgjWA
(Locker) Kingo Avelino Martínez;Central;15. San Lorenzo;Avelino Martínez y Los Milagros;-25,35531191;-57,54286766;https://maps.app.goo.gl/DGdzuzNHjxvPXjTM6
(Locker) HyV La Curva - Carapegua;Paraguarí;03. Carapeguá;Ruta PY01, Carapeguá 090502;-25,7672954;-57,2386153;https://maps.app.goo.gl/DhjqvoVHFwENwHSD8
(Locker) Gran Vía San José CDE;Alto Paraná;01. Ciudad del Este;Av San José y Guyra Campana, Ciudad Nueva, CDE;-25,5071645;-54,6663782;https://maps.app.goo.gl/ZsWupEpkaq2gybZLA
(Locker) Gran Via Royal;Central;03. Fernando de la Mora;Av. Mariscal Lopez y Av, Madame Lynch;-25,30826591;-57,55258799;https://maps.app.goo.gl/RaTd23Boc7kg3bAn9
(Locker) Gran Via Remansito;Alto Paraná;15. Presidente Franco;Gral. Bernardino Caballero y Sgto Silva, Remansito, Presidente Franco;-25,54573272;-54,60801601;https://maps.app.goo.gl/qDcqjeMfE1jpPbZ79
(Locker) Gran Via Ñemby;Central;12. Ñemby;Acceso Sur y Defensores del Chaco;-25,39592849;-57,54529238;https://maps.app.goo.gl/VW8kVnBiFhTocs346
(Locker) Gran Vía Km 4 24/7;Alto Paraná;01. Ciudad del Este;Avenida Monseñor Rodriguez, KM 4;-25,5081297;-54,63784218;https://maps.app.goo.gl/kyM1vbTMZB9mwXtp9
(Locker) Fortis PJC;Amambay;05. Pedro Juan Caballero;Avda. Padre Juan Jose O' Connor e/ Cincuentenario de la Guerra del Chaco, Amambay, Pedro J. Caballero;-22,52041288;-55,74084371;https://maps.app.goo.gl/yXX8sjYA25PmhfgB9
(Locker) Fortis Oviedo;Caaguazú;03. Coronel Oviedo;Ruta PY02 Mariscal José Félix Estigarribia casi Ayolas, Caaguazú, Coronel Oviedo;-25,46513902;-56,46405101;https://maps.app.goo.gl/1iUa5JQc2Xdfx7QWA
(Locker) Fortis Mariano;Central;11. Mariano Roque Alonso;Avda. Gral. Elizardo Aquino esq/ Avda. Gral. Bernardino Caballero, Central, Mariano R. Alonso;-25,1927102;-57,5026966;https://maps.app.goo.gl/SC92y7zAPjVQhHzG7
(Locker) Fortis Laurelty;Central;15. San Lorenzo;Av. Gral. Eugenio A. Garay y Mario Jara, Laurelty, San Lorenzo;-25,3140375;-57,5078281;https://maps.app.goo.gl/uocwP8MDCUD25UWi8
(Locker) Fortis Jockey;Asunción;Asunción;Avda. Eusebio Ayala c/ Cedro, Hipódromo, Asunción;-25,3138091;-57,5841754;https://maps.app.goo.gl/mT4ixkjJcSEWGHzr5
(Locker) Fortis Concepción;Concepción;04. Concepción;Ruta PY 05 Avda. Gral. Elizardo Aquino esq/ Avda. Gral. Bernardino Caballero, Concepción, Concepción;-23,4187049;-57,431652;https://maps.app.goo.gl/fnqyi9wrUzYMDrfb8
(Locker) Fortis CDE;Alto Paraná;01. Ciudad del Este;Ruta PY 02 Avda. Mon­señor Rodríguez, km 4.3;-25,5077478;-54,6411071;https://maps.app.goo.gl/Va6fRE1ZYwU8qSwh8
(Locker) El Ahorrazo San Lorenzo;Central;15. San Lorenzo;PY02 y Gral. Caballero;-25,3442505;-57,5104264;https://maps.app.goo.gl/hDnJRt855FLXDatn6
(Locker) El Ahorrazo Capiatá R2;Central;02. Capiatá;Ruta 2 y Monseñor Darío Céspedes;-25,35040598;-57,45177984;https://maps.app.goo.gl/N3kcjYCWk13FH9LG6
(Locker) El Ahorrazo Capiatá D27;Central;02. Capiatá;Olimpia y Ruta Capiatá - Thompson - Ypane;-25,39292391;-57,46986866;https://maps.app.goo.gl/wHbMBNxMGY6wn89z8
(Locker) Copetrol Aeropuerto;Central;10. Luque;Autop. Silvio Pettirossi y Cachabamba;-25,2456125;-57,5112969;https://maps.app.goo.gl/srDstSoWhLKgWEYi8
(Locker) Century Plaza;Central;08. Lambaré;Av. Cacique Lambare casi Mbaracayu, Valle Apu'a 1, Lambare;-25,34340547;-57,61354923;https://maps.app.goo.gl/HjmCKzjgUZa54v4w8
(Locker) Central Parking;Asunción;Asunción;Chile 890 e/ Piribebuy;-25,2865604;-57,6383406;https://maps.app.goo.gl/Taw8VYBJtAsVB7QV7
(Locker) CDE Sucursal;Alto Paraná;01. Ciudad del Este;Curupayty e/ Eusebio Ayala;-25,5137942;-54,6128882;https://maps.app.goo.gl/yuLiZxNGB2k6BxK16
(Locker) Arete Primer Presidente;Asunción;Asunción;Av. Primer Presidente y M. Pérez Martínez;-25,25938718;-57,56651402;https://maps.app.goo.gl/y8emQTYo4NUkX9KR8
(Locker) Supermercado La Canasta;Concepción;04. Concepción;Padre Sarmiento y Screiber;-23,406919;57,439937;https://maps.app.goo.gl/XnrZNWpT6CisXFss7
(Locker) Copetrol Rca. Argentina;Central;08. Lambaré;Av. Rca. Argentina y Guaraníes;-25,3353172;-57,61562235;https://maps.app.goo.gl/Vh5ZiWzFQM3emSHt6
(Locker)  Copetrol Km 4 CDE;Alto Paraná;01. Ciudad del Este;Av. San Blas y Mariscal López;-25,50635285;-54,63870049;https://maps.app.goo.gl/S6oKh653AiC4Re5TA
(Locker) Petrobras Molas López;Asunción;Asunción;Av. Dr. Felipe Molas Lopez y Gral. José de San Martín;-25,27599466;-57,56711283;https://maps.app.goo.gl/hfeUJHxhWjfw61Lu5
(Locker) Hiperseis  *24/7;Asunción;Asunción;Av. Boggiani y Hassler;-25,30269365;-57,56428242;https://maps.app.goo.gl/yjNyAaEWQZQsaQfX8
(Locker) Petromax Pitiantuta;Asunción;Asunción;Av. Pitiantuta y  Yataity Corá;-25,34433081;-57,55970736;https://maps.app.goo.gl/qr2vtYnBi5rRUA2a7
(Locker) Petrobras Av. General Santos;Asunción;Asunción;Av. General Santos y Schinini;-25,27627651;-57,6093328;https://maps.app.goo.gl/WffWv1LewGuU1H2dA
(Locker) Geminis Super Center;San Pedro;14. Santa Rosa del Aguaray;Ruta PY08 casi C. de las Palmeras;-23,81580512;-56,51145101;https://maps.app.goo.gl/uqh18ADjuTceDPF29
(Locker) Petrobras Av. De La Victoria;Asunción;Asunción;Av. la Victoria y Incas;-25,3196809;-57,5769515;https://maps.app.goo.gl/nk9a7BsAxuyoskh2A
(Locker) Petrobras Campo Grande;Asunción;Asunción;Av. Aviadores del Chaco y Av. Santisima Trinidad;-25,27690711;-57,55148828;https://maps.app.goo.gl/FB4oNcJY4FhBcgiC9
(Locker) Copetrol Americo Picco;Central;16. Villa Elisa;Americo Picco y Hungtia;-25,36824867;-57,57877629;https://maps.app.goo.gl/zD4NDdB53ovWynzh7
(Locker) Petrobras Katuete;Canindeyú;05. Katueté;Las Residentas, Petrobras Katueté 140802;-24,23772965;-54,74579573;https://maps.app.goo.gl/KpBkxfSFud5PPNodA
(Locker)  Arete Shopping Pinedo;Central;03. Fernando de la Mora;Av. Mariscal Lopez y 26 de Febrero;-25,3230185;-57,5194228;https://maps.app.goo.gl/83wXcpmzYFwHXaPK6
(Locker) Arete Sausalito;Asunción;Asunción;Av. Venezuela y Salvador;-25,2674118;-57,5934885;https://maps.app.goo.gl/RtaivrTyLPp8Zs326
(Locker) Petrobras Paraguarí;Paraguarí;09. Paraguarí;Ruta PY01 Mariscal Francisco Solano López y Asunción;-25,6224625;-57,1513281;https://maps.app.goo.gl/eTFh4WjgRUjdpw8S8
(Locker) Stock Minga Guazu;Alto Paraná;11. Minga Guazú;Sor Serafina Rodrigues y C.16 Acaray;-25,490144;-54,7607023;https://maps.app.goo.gl/yeUQQSVNpfyNvLuHA
(Locker) Virgen del Rosario Cañada;Central;10. Luque;C. Coronel Martinez y Francisto parra;-25,29832878;-57,47132778;https://maps.app.goo.gl/prKqYeqekyWeMyxHA
(Locker) Paseo del Yacht y Golf Club;Central;08. Lambaré;P. del Yacht y Golf Club;-25,3590834;-57,6275036;https://maps.app.goo.gl/Md77WwqMoaHBUcWx5
(Locker)  Stock Calle i;Central;15. San Lorenzo;Av. Campo Via c/ Justo Román;-25,3688565;-57,6328518;https://maps.app.goo.gl/6WMhMn74YuPArt6P6
